Date,installment_interest_rate
2019-04-11,2.61532
2019-04-12,2.20075
2019-04-13,1.39089
2019-04-14,1.73026
2019-04-15,2.72459
2019-04-16,2.41735
2019-04-17,2.20975
2019-04-18,2.21682
2019-04-19,3.27863
2019-04-20,1.59593
2019-04-21,1.64992
2019-04-22,2.63782
2019-04-23,2.36208
2019-04-24,2.18982
2019-04-25,2.74194
2019-04-26,2.18532
2019-04-27,1.23149
2019-04-28,1.51173
2019-04-29,2.35115
2019-04-30,2.30873
2019-05-01,1.81382
2019-05-02,2.50155
2019-05-03,2.09534
2019-05-04,1.26234
2019-05-05,1.14922
2019-05-06,1.63385
2019-05-07,2.46363
2019-05-08,2.19625
2019-05-09,2.19304
2019-05-10,2.17568
2019-05-11,1.2842
2019-05-12,1.4346
2019-05-13,2.41093
2019-05-14,2.29716
2019-05-15,2.38393
2019-05-16,2.24189
2019-05-17,1.82924
2019-05-18,1.20643
2019-05-19,1.54387
2019-05-20,2.5022
2019-05-21,2.44242
2019-05-22,2.27467
2019-05-23,2.54462
2019-05-24,2.23739
2019-05-25,1.32983
2019-05-26,1.63578
2019-05-27,2.61082
2019-05-28,2.4
2019-05-29,2.84799
2019-05-30,2.16668
2019-05-31,2.06063
2019-06-01,1.40503
2019-06-02,1.54836
2019-06-03,2.4842
2019-06-04,2.31644
2019-06-05,2.22067
2019-06-06,1.60043
2019-06-07,2.16347
2019-06-08,1.29641
2019-06-09,1.63449
2019-06-10,2.87049
2019-06-11,2.56583
2019-06-12,2.35372
2019-06-13,2.31194
2019-06-14,2.04328
2019-06-15,1.36004
2019-06-16,1.4963
2019-06-17,2.52662
2019-06-18,2.34344
2019-06-19,2.22132
2019-06-20,2.21618
2019-06-21,2.44821
2019-06-22,1.28677
2019-06-23,1.50851
2019-06-24,2.38907
2019-06-25,2.86985
2019-06-26,2.44499
2019-06-27,2.11141
2019-06-28,2.02721
2019-06-29,1.37225
2019-06-30,1.55286
2019-07-01,2.53562
2019-07-02,2.25603
2019-07-03,2.11719
2019-07-04,1.9353
2019-07-05,1.87681
2019-07-06,1.15822
2019-07-07,1.35361
2019-07-08,2.35244
2019-07-09,2.11462
2019-07-10,2.43471
2019-07-11,2.23739
2019-07-12,1.92951
2019-07-13,1.27648
2019-07-14,1.38318
2019-07-15,3.27927
2019-07-16,3.99915
2019-07-17,3.12373
2019-07-18,2.90134
2019-07-19,2.60889
2019-07-20,1.57215
2019-07-21,2.12233
2019-07-22,6.83557
2019-07-23,3.16229
2019-07-24,4.41822
2019-07-25,3.12951
2019-07-26,2.53112
2019-07-27,1.35554
2019-07-28,1.51816
2019-07-29,3.08452
2019-07-30,3.3789
2019-07-31,2.93219
2019-08-01,2.70466
2019-08-02,2.31002
2019-08-03,1.26941
2019-08-04,1.48666
2019-08-05,2.64681
2019-08-06,2.56454
2019-08-07,2.32544
2019-08-08,2.34408
2019-08-09,2.19175
2019-08-10,1.43139
2019-08-11,1.42689
2019-08-12,2.60761
2019-08-13,2.47006
2019-08-14,2.18854
2019-08-15,1.56186
2019-08-16,2.60568
2019-08-17,1.3639
2019-08-18,1.55029
2019-08-19,2.59282
2019-08-20,2.6301
2019-08-21,2.57033
2019-08-22,3.15265
2019-08-23,2.45463
2019-08-24,1.45774
2019-08-25,1.75083
2019-08-26,2.99197
2019-08-27,2.66738
2019-08-28,2.52726
2019-08-29,2.39422
2019-08-30,2.14097
2019-08-31,1.38125
2019-09-01,1.6872
2019-09-02,2.49898
2019-09-03,2.41928
2019-09-04,2.30037
2019-09-05,2.40257
2019-09-06,2.12683
2019-09-07,1.42817
2019-09-08,1.60685
2019-09-09,2.36979
2019-09-10,2.76958
2019-09-11,2.18468
2019-09-12,1.23663
2019-09-13,1.29255
2019-09-14,1.49437
2019-09-15,1.95972
2019-09-16,3.37183
2019-09-17,3.00546
2019-09-18,2.71559
2019-09-19,2.58511
2019-09-20,2.52855
2019-09-21,1.56122
2019-09-22,1.77847
2019-09-23,3.34676
2019-09-24,2.70466
2019-09-25,3.00932
2019-09-26,2.66288
2019-09-27,2.32608
2019-09-28,1.46609
2019-09-29,1.84853
2019-09-30,3.05817
2019-10-01,2.7985
2019-10-02,2.24896
2019-10-03,1.7354
2019-10-04,2.39422
2019-10-05,1.42689
2019-10-06,1.49437
2019-10-07,2.30359
2019-10-08,1.99057
2019-10-09,1.51301
2019-10-10,2.427
2019-10-11,2.1654
2019-10-12,1.33819
2019-10-13,1.53937
2019-10-14,2.58511
2019-10-15,2.37493
2019-10-16,2.63589
2019-10-17,2.57483
2019-10-18,2.3113
2019-10-19,1.39539
2019-10-20,1.98993
2019-10-21,3.20664
2019-10-22,2.64167
2019-10-23,2.4572
2019-10-24,2.33637
2019-10-25,2.57675
2019-10-26,1.5233
2019-10-27,1.74569
2019-10-28,2.79015
2019-10-29,2.67574
2019-10-30,2.38715
2019-10-31,2.48741
2019-11-01,2.21296
2019-11-02,1.54965
2019-11-03,1.64413
2019-11-04,2.4977
2019-11-05,2.58125
2019-11-06,2.33958
2019-11-07,2.28945
2019-11-08,2.10691
2019-11-09,1.34847
2019-11-10,1.64992
2019-11-11,2.49705
2019-11-12,2.34665
2019-11-13,2.25795
2019-11-14,2.07606
2019-11-15,1.99507
2019-11-16,1.35169
2019-11-17,1.55351
2019-11-18,2.27338
2019-11-19,2.09341
2019-11-20,2.2631
2019-11-21,2.25217
2019-11-22,1.91923
2019-11-23,1.30669
2019-11-24,1.64735
2019-11-25,2.92255
2019-11-26,2.44049
2019-11-27,2.46942
2019-11-28,2.23546
2019-11-29,2.07863
2019-11-30,1.48152
2019-12-01,1.87681
2019-12-02,2.61146
2019-12-03,2.48163
2019-12-04,2.41093
2019-12-05,2.45849
2019-12-06,2.06642
2019-12-07,1.42817
2019-12-08,1.67434
2019-12-09,2.5594
2019-12-10,2.8737
2019-12-11,2.70916
2019-12-12,2.39743
2019-12-13,2.11269
2019-12-14,1.44938
2019-12-15,1.71933
2019-12-16,2.65517
2019-12-17,2.57226
2019-12-18,2.48356
2019-12-19,2.37043
2019-12-20,2.28688
2019-12-21,1.52137
2019-12-22,1.76304
2019-12-23,2.54847
2019-12-24,2.72266
2019-12-25,2.07284
2019-12-26,3.15587
2019-12-27,2.81971
2019-12-28,1.78104
2019-12-29,2.10691
2019-12-30,3.24842
2019-12-31,3.01896
2020-01-01,2.75801
2020-01-02,4.80643
2020-01-03,3.98951
2020-01-04,2.3865
2020-01-05,2.63524
2020-01-06,3.78511
2020-01-07,3.68742
2020-01-08,3.41489
2020-01-09,3.13016
2020-01-10,3.26963
2020-01-11,2.12169
2020-01-12,2.31773
2020-01-13,3.33712
2020-01-14,3.30884
2020-01-15,3.46953
2020-01-16,3.15458
2020-01-17,3.09802
2020-01-18,1.99957
2020-01-19,2.06449
2020-01-20,3.51516
2020-01-21,3.85967
2020-01-22,3.67006
2020-01-23,3.6752
2020-01-24,2.41221
2020-01-25,2.44306
2020-01-26,2.59154
2020-01-27,3.19315
2020-01-28,4.8045
2020-01-29,3.97022
2020-01-30,3.79475
2020-01-31,3.58329
2020-02-01,2.48227
2020-02-02,2.91227
2020-02-03,10.73639
2020-02-04,10.7666
2020-02-05,8.96113
2020-02-06,5.19851
2020-02-07,4.03193
2020-02-08,2.60696
2020-02-09,2.93669
2020-02-10,4.95748
2020-02-11,4.58083
2020-02-12,4.41886
2020-02-13,3.75426
2020-02-14,3.42968
2020-02-15,2.21425
2020-02-16,2.4752
2020-02-17,3.86417
2020-02-18,3.65142
2020-02-19,3.3474
2020-02-20,3.40975
2020-02-21,2.81586
2020-02-22,1.93722
2020-02-23,2.06256
2020-02-24,2.94633
2020-02-25,3.92973
2020-02-26,3.74912
2020-02-27,3.42903
2020-02-28,3.25035
2020-02-29,2.31966
2020-03-01,2.74644
2020-03-02,3.72598
2020-03-03,3.47017
2020-03-04,3.50102
2020-03-05,3.87703
2020-03-06,3.18993
2020-03-07,2.30423
2020-03-08,2.30809
2020-03-09,3.80375
2020-03-10,4.31988
2020-03-11,4.03835
2020-03-12,3.41425
2020-03-13,3.59036
2020-03-14,2.96112
2020-03-15,3.14108
2020-03-16,5.77955
2020-03-17,5.34441
2020-03-18,4.30059
2020-03-19,3.92716
2020-03-20,3.84103
2020-03-21,2.49256
2020-03-22,2.60696
2020-03-23,4.08849
2020-03-24,3.73305
2020-03-25,4.46642
2020-03-26,4.17012
2020-03-27,3.58651
2020-03-28,2.38843
2020-03-29,2.39422
2020-03-30,4.15919
2020-03-31,4.34366
2020-04-01,4.1714
2020-04-02,3.48495
2020-04-03,3.15908
2020-04-04,2.03621
2020-04-05,2.34665
2020-04-06,3.56465
2020-04-07,3.2947
2020-04-08,3.34548
2020-04-09,3.27092
2020-04-10,3.61221
2020-04-11,2.31387
2020-04-12,2.50605
2020-04-13,3.627
2020-04-14,3.07488
2020-04-15,2.46685
2020-04-16,3.25806
2020-04-17,3.32234
2020-04-18,2.12233
2020-04-19,2.43085
2020-04-20,3.81789
2020-04-21,3.91045
2020-04-22,3.52544
2020-04-23,3.58265
2020-04-24,3.61157
2020-04-25,2.25153
2020-04-26,2.27852
2020-04-27,3.72469
2020-04-28,3.32876
2020-04-29,3.20407
2020-04-30,2.14483
2020-05-01,2.26181
2020-05-02,1.93273
2020-05-03,2.22196
2020-05-04,3.77419
2020-05-05,2.53819
2020-05-06,3.44767
2020-05-07,2.99968
2020-05-08,2.95854
2020-05-09,1.78232
2020-05-10,2.07092
2020-05-11,3.33069
2020-05-12,3.1443
2020-05-13,2.81264
2020-05-14,2.72137
2020-05-15,2.81071
2020-05-16,1.77011
2020-05-17,1.88516
2020-05-18,3.22143
2020-05-19,2.98554
2020-05-20,3.08838
2020-05-21,3.07424
2020-05-22,2.62946
2020-05-23,1.69041
2020-05-24,2.00407
2020-05-25,3.75555
2020-05-26,3.58265
2020-05-27,2.83642
2020-05-28,2.98168
2020-05-29,2.72973
2020-05-30,1.78811
2020-05-31,2.26438
2020-06-01,3.57879
2020-06-02,3.18093
2020-06-03,2.96497
2020-06-04,2.82293
2020-06-05,2.60118
2020-06-06,1.73412
2020-06-07,1.8331
2020-06-08,3.0376
2020-06-09,2.77151
2020-06-10,3.24521
2020-06-11,2.83835
2020-06-12,2.37493
2020-06-13,1.55094
2020-06-14,1.89223
2020-06-15,3.02153
2020-06-16,2.8602
2020-06-17,2.64874
2020-06-18,2.48356
2020-06-19,2.427
2020-06-20,1.60043
2020-06-21,1.80739
2020-06-22,2.87435
2020-06-23,2.58961
2020-06-24,2.57997
2020-06-25,3.09609
2020-06-26,2.6166
2020-06-27,1.63064
2020-06-28,1.78297
2020-06-29,2.92255
2020-06-30,2.97204
2020-07-01,3.07424
2020-07-02,2.71687
2020-07-03,2.68152
2020-07-04,1.59786
2020-07-05,2.07927
