Date,dividend_stocks
2019-04-23,8.89892
2019-04-24,8.0833
2019-04-25,8.24351
2019-04-26,7.36964
2019-04-27,4.28196
2019-04-28,4.87911
2019-04-29,6.96184
2019-04-30,6.16079
2019-05-01,20.28837
2019-05-02,10.20972
2019-05-03,6.78706
2019-05-04,4.25284
2019-05-05,4.16545
2019-05-06,4.41304
2019-05-07,6.17535
2019-05-08,9.58345
2019-05-09,9.4378
2019-05-10,7.48616
2019-05-11,4.61695
2019-05-12,4.95193
2019-05-13,7.20943
2019-05-14,8.38916
2019-05-15,8.01048
2019-05-16,6.5249
2019-05-17,6.42295
2019-05-18,4.09263
2019-05-19,3.99067
2019-05-20,5.94232
2019-05-21,7.04922
2019-05-22,6.93271
2019-05-23,5.72385
2019-05-24,5.44713
2019-05-25,3.65569
2019-05-26,3.97611
2019-05-27,8.05418
2019-05-28,7.09292
2019-05-29,6.85988
2019-05-30,6.5249
2019-05-31,5.91319
2019-06-01,3.75764
2019-06-02,4.48587
2019-06-03,5.70929
2019-06-04,7.224
2019-06-05,6.33556
2019-06-06,5.19953
2019-06-07,6.23361
2019-06-08,4.4713
2019-06-09,5.08301
2019-06-10,6.24817
2019-06-11,7.16574
2019-06-12,8.9863
2019-06-13,8.03961
2019-06-14,8.15613
2019-06-15,5.15584
2019-06-16,4.57325
2019-06-17,6.71424
2019-06-18,6.94727
2019-06-19,7.23856
2019-06-20,8.22895
2019-06-21,8.97174
2019-06-22,4.66064
2019-06-23,4.74803
2019-06-24,7.74832
2019-06-25,6.53946
2019-06-26,7.6755
2019-06-27,7.224
2019-06-28,6.05884
2019-06-29,4.0635
2019-06-30,4.0635
2019-07-01,6.04427
2019-07-02,5.85493
2019-07-03,5.89863
2019-07-04,6.5249
2019-07-05,5.68016
2019-07-06,4.90824
2019-07-07,4.58782
2019-07-08,5.89863
2019-07-09,6.39382
2019-07-10,5.8258
2019-07-11,5.76755
2019-07-12,5.54908
2019-07-13,3.74308
2019-07-14,4.76259
2019-07-15,4.79172
2019-07-16,4.9228
2019-07-17,4.87911
2019-07-18,5.69472
2019-07-19,5.88406
2019-07-20,4.0198
2019-07-21,4.04893
2019-07-22,5.95688
2019-07-23,7.20943
2019-07-24,7.57355
2019-07-25,7.04922
2019-07-26,8.25808
2019-07-27,5.02475
2019-07-28,5.31605
2019-07-29,6.94727
2019-07-30,7.98135
2019-07-31,6.17535
2019-08-01,6.74337
2019-08-02,6.7288
2019-08-03,3.32071
2019-08-04,3.612
2019-08-05,9.4378
2019-08-06,12.59831
2019-08-07,10.02039
2019-08-08,9.07369
2019-08-09,8.34547
2019-08-10,4.99563
2019-08-11,5.76755
2019-08-12,8.5348
2019-08-13,8.79697
2019-08-14,7.64637
2019-08-15,4.50043
2019-08-16,6.69967
2019-08-17,4.93737
2019-08-18,3.87416
2019-08-19,6.67055
2019-08-20,7.98135
2019-08-21,8.01048
2019-08-22,9.00087
2019-08-23,7.89397
2019-08-24,3.96154
2019-08-25,5.3743
2019-08-26,8.56393
2019-08-27,7.44247
2019-08-28,7.03466
2019-08-29,6.83076
2019-08-30,7.85027
2019-08-31,5.85493
2019-09-01,4.93737
2019-09-02,6.75793
2019-09-03,7.23856
2019-09-04,8.01048
2019-09-05,7.83571
2019-09-06,8.18526
2019-09-07,4.82085
2019-09-08,4.58782
2019-09-09,7.44247
2019-09-10,7.83571
2019-09-11,7.74832
2019-09-12,4.44217
2019-09-13,5.38887
2019-09-14,8.52024
2019-09-15,7.89397
2019-09-16,11.84095
2019-09-17,11.20011
2019-09-18,10.7923
2019-09-19,14.79755
2019-09-20,9.933
2019-09-21,5.76755
2019-09-22,5.89863
2019-09-23,9.13195
2019-09-24,10.60297
2019-09-25,10.87969
2019-09-26,10.60297
2019-09-27,8.84066
2019-09-28,5.418
2019-09-29,5.19953
2019-09-30,8.11243
2019-10-01,10.19516
2019-10-02,8.40372
2019-10-03,6.53946
2019-10-04,8.05418
2019-10-05,4.79172
2019-10-06,5.59277
2019-10-07,8.11243
2019-10-08,8.28721
2019-10-09,5.8258
2019-10-10,7.58811
2019-10-11,8.36003
2019-10-12,4.35479
2019-10-13,5.65103
2019-10-14,9.17564
2019-10-15,9.45237
2019-10-16,10.54471
2019-10-17,9.05913
2019-10-18,8.31634
2019-10-19,5.09758
2019-10-20,6.71424
2019-10-21,9.08826
2019-10-22,10.09321
2019-10-23,10.15147
2019-10-24,9.37955
2019-10-25,8.60763
2019-10-26,4.76259
2019-10-27,5.09758
2019-10-28,8.88435
2019-10-29,10.77774
2019-10-30,10.3408
2019-10-31,10.48645
2019-11-01,9.62714
2019-11-02,5.12671
2019-11-03,7.15117
2019-11-04,12.30702
2019-11-05,12.13224
2019-11-06,13.10806
2019-11-07,12.03029
2019-11-08,13.02068
2019-11-09,5.98601
2019-11-10,6.99096
2019-11-11,9.80192
2019-11-12,11.81182
2019-11-13,13.21002
2019-11-14,14.63734
2019-11-15,12.27789
2019-11-16,7.80658
2019-11-17,8.95718
2019-11-18,14.15671
2019-11-19,13.69064
2019-11-20,12.80221
2019-11-21,11.95747
2019-11-22,10.45732
2019-11-23,8.38916
2019-11-24,7.74832
2019-11-25,11.50597
2019-11-26,15.00145
2019-11-27,14.50626
2019-11-28,13.19545
2019-11-29,11.4914
2019-11-30,7.64637
2019-12-01,9.59801
2019-12-02,13.58869
2019-12-03,14.14214
2019-12-04,14.31692
2019-12-05,13.61782
2019-12-06,12.94785
2019-12-07,8.82609
2019-12-08,9.19021
2019-12-09,15.5549
2019-12-10,14.05476
2019-12-11,16.21031
2019-12-12,25.37139
2019-12-13,23.74016
2019-12-14,12.03029
2019-12-15,11.21468
2019-12-16,20.92921
2019-12-17,23.55083
2019-12-18,22.48762
2019-12-19,21.61374
2019-12-20,22.02155
2019-12-21,10.64666
2019-12-22,15.65685
2019-12-23,28.4882
2019-12-24,29.55141
2019-12-25,20.60879
2019-12-26,55.85493
2019-12-27,26.08505
2019-12-28,8.17069
2019-12-29,8.21438
2019-12-30,13.10806
2019-12-31,11.14185
2020-01-01,8.18526
2020-01-02,10.6321
2020-01-03,10.28255
2020-01-04,6.85988
2020-01-05,8.21438
2020-01-06,8.37459
2020-01-07,9.35042
2020-01-08,8.40372
2020-01-09,8.9863
2020-01-10,8.62219
2020-01-11,5.03932
2020-01-12,6.45208
2020-01-13,9.14651
2020-01-14,9.03
2020-01-15,8.69501
2020-01-16,8.25808
2020-01-17,8.09787
2020-01-18,6.20448
2020-01-19,6.61229
2020-01-20,11.79726
2020-01-21,11.02534
2020-01-22,10.10777
2020-01-23,8.27264
2020-01-24,6.48121
2020-01-25,5.79667
2020-01-26,6.43751
2020-01-27,7.92309
2020-01-28,11.15642
2020-01-29,10.20972
2020-01-30,10.25342
2020-01-31,8.65132
2020-02-01,6.04427
2020-02-02,6.11709
2020-02-03,10.42819
2020-02-04,11.17098
2020-02-05,13.10806
2020-02-06,12.32158
2020-02-07,11.59335
2020-02-08,9.62714
2020-02-09,8.60763
2020-02-10,10.836
2020-02-11,12.27789
2020-02-12,11.33119
2020-02-13,11.34576
2020-02-14,10.66122
2020-02-15,7.93766
2020-02-16,7.85027
2020-02-17,10.66122
2020-02-18,11.2875
2020-02-19,10.74861
2020-02-20,10.25342
2020-02-21,9.17564
2020-02-22,6.74337
2020-02-23,7.00553
2020-02-24,9.933
2020-02-25,10.28255
2020-02-26,11.37489
2020-02-27,11.14185
2020-02-28,13.32653
2020-02-29,9.97669
2020-03-01,10.19516
2020-03-02,12.56918
2020-03-03,15.1034
2020-03-04,14.71016
2020-03-05,15.54034
2020-03-06,13.48674
2020-03-07,9.30672
2020-03-08,9.96213
2020-03-09,15.01602
2020-03-10,17.02592
2020-03-11,16.54529
2020-03-12,20.09903
2020-03-13,26.6385
2020-03-14,17.92892
2020-03-15,18.10369
2020-03-16,24.41013
2020-03-17,30.35246
2020-03-18,29.66792
2020-03-19,43.60617
2020-03-20,38.79988
2020-03-21,24.27905
2020-03-22,23.71103
2020-03-23,35.88697
2020-03-24,28.32799
2020-03-25,29.49315
2020-03-26,28.79405
2020-03-27,25.60442
2020-03-28,13.9965
2020-03-29,16.42877
2020-03-30,19.54558
2020-03-31,20.65249
2020-04-01,21.59918
2020-04-02,17.47742
2020-04-03,19.31255
2020-04-04,13.26827
2020-04-05,15.75881
2020-04-06,35.84328
2020-04-07,22.67695
2020-04-08,22.50218
2020-04-09,21.49723
2020-04-10,24.58491
2020-04-11,14.85581
2020-04-12,14.448
2020-04-13,21.48266
2020-04-14,20.0699
2020-04-15,14.60821
2020-04-16,15.88989
2020-04-17,20.3175
2020-04-18,14.40431
2020-04-19,12.62743
2020-04-20,18.52607
2020-04-21,17.82697
2020-04-22,20.39032
2020-04-23,19.28342
2020-04-24,20.84182
2020-04-25,13.58869
2020-04-26,13.545
2020-04-27,17.55024
2020-04-28,18.48237
2020-04-29,20.769
2020-04-30,12.48179
2020-05-01,9.62714
2020-05-02,7.79201
2020-05-03,8.28721
2020-05-04,12.56918
2020-05-05,11.24381
2020-05-06,14.22953
2020-05-07,14.36061
2020-05-08,12.03029
2020-05-09,7.86484
2020-05-10,9.05913
2020-05-11,14.40431
2020-05-12,14.08389
2020-05-13,12.87503
2020-05-14,13.04981
2020-05-15,12.96242
2020-05-16,8.56393
2020-05-17,8.11243
2020-05-18,14.28779
2020-05-19,16.55986
2020-05-20,15.70055
2020-05-21,14.95776
2020-05-22,13.07893
2020-05-23,8.24351
2020-05-24,8.7824
2020-05-25,13.22458
2020-05-26,14.2441
2020-05-27,20.55053
2020-05-28,19.95339
2020-05-29,15.64229
2020-05-30,10.10777
2020-05-31,9.81648
2020-06-01,16.02097
2020-06-02,20.02621
2020-06-03,21.48266
2020-06-04,18.52607
2020-06-05,16.41421
2020-06-06,10.53014
2020-06-07,10.82143
2020-06-08,15.46752
2020-06-09,15.68598
2020-06-10,15.84619
2020-06-11,14.76842
2020-06-12,14.72473
2020-06-13,8.65132
2020-06-14,8.46198
2020-06-15,14.68103
2020-06-16,13.61782
2020-06-17,13.41392
2020-06-18,13.69064
2020-06-19,12.3944
2020-06-20,7.6318
2020-06-21,8.05418
2020-06-22,13.58869
2020-06-23,13.26827
2020-06-24,14.05476
2020-06-25,13.04981
2020-06-26,12.99155
2020-06-27,6.81619
2020-06-28,7.1803
2020-06-29,10.82143
2020-06-30,11.60792
2020-07-01,10.10777
2020-07-02,14.92863
2020-07-03,45.16457
2020-07-04,24.6286
2020-07-05,26.37634
2020-07-06,28.28429
2020-07-07,26.47829
2020-07-08,21.2205
2020-07-09,17.44829
2020-07-10,15.23448
2020-07-11,11.2875
2020-07-12,12.10311
2020-07-13,17.4046
2020-07-14,15.61316
2020-07-15,17.18613
2020-07-16,15.08884
2020-07-17,14.6519
2020-07-18,9.55432
2020-07-19,12.55461
2020-07-20,16.18118
2020-07-21,16.16661
2020-07-22,16.15205
2020-07-23,16.13748
2020-07-24,13.19545
2020-07-25,10.55927
2020-07-26,13.0935
2020-07-27,16.80745
2020-07-28,19.29799
2020-07-29,16.67637
2020-07-30,15.16166
2020-07-31,14.98689
2020-08-01,10.45732
2020-08-02,11.88464
2020-08-03,14.95776
2020-08-04,18.74453
2020-08-05,19.58928
2020-08-06,20.92921
2020-08-07,23.28866
2020-08-08,15.1034
2020-08-09,15.99184
2020-08-10,25.02184
2020-08-11,24.35187
2020-08-12,20.84182
2020-08-13,23.20128
2020-08-14,19.60384
2020-08-15,12.642
2020-08-16,12.96242
2020-08-17,17.8561
2020-08-18,18.93387
2020-08-19,18.68628
2020-08-20,20.09903
2020-08-21,17.6085
2020-08-22,11.5351
2020-08-23,11.17098
2020-08-24,17.43373
2020-08-25,18.11826
2020-08-26,24.30818
2020-08-27,20.85639
2020-08-28,17.08418
2020-08-29,13.28284
2020-08-30,15.5986
2020-08-31,18.59889
2020-09-01,20.73987
2020-09-02,21.84678
2020-09-03,22.79347
2020-09-04,19.96795
2020-09-05,15.1034
2020-09-06,15.43839
2020-09-07,24.73055
2020-09-08,24.08971
2020-09-09,22.15263
2020-09-10,23.04107
2020-09-11,24.4247
2020-09-12,16.0064
2020-09-13,15.03058
2020-09-14,26.42004
2020-09-15,24.94902
2020-09-16,23.88581
2020-09-17,22.29828
2020-09-18,21.96329
2020-09-19,15.03058
2020-09-20,39.61549
2020-09-21,40.70783
2020-09-22,34.08097
2020-09-23,29.47859
2020-09-24,23.90037
2020-09-25,20.91465
2020-09-26,15.26361
2020-09-27,15.49665
2020-09-28,19.4145
2020-09-29,19.45819
2020-09-30,13.16632
2020-10-01,12.8459
2020-10-02,12.8896
2020-10-03,16.82202
2020-10-04,19.56015
2020-10-05,26.30352
2020-10-06,27.36673
2020-10-07,24.70142
2020-10-08,21.672
2020-10-09,14.448
2020-10-10,15.351
2020-10-11,20.21555
2020-10-12,32.24584
2020-10-13,25.54616
2020-10-14,25.48791
2020-10-15,21.16224
2020-10-16,19.34168
2020-10-17,12.37984
2020-10-18,13.60326
2020-10-19,23.50713
2020-10-20,22.00699
2020-10-21,28.41538
2020-10-22,26.60937
2020-10-23,28.09496
2020-10-24,13.61782
2020-10-25,14.46256
2020-10-26,19.83687
2020-10-27,20.18642
2020-10-28,19.00669
2020-10-29,17.49198
2020-10-30,16.03553
2020-10-31,9.36498
2020-11-01,9.27759
2020-11-02,13.76347
2020-11-03,15.23448
2020-11-04,13.76347
2020-11-05,18.20565
2020-11-06,17.34634
2020-11-07,12.61287
2020-11-08,11.65161
2020-11-09,20.08447
2020-11-10,23.63821
2020-11-11,26.39091
2020-11-12,22.58957
2020-11-13,21.83221
2020-11-14,11.27293
2020-11-15,12.24876
2020-11-16,28.0367
2020-11-17,29.65336
2020-11-18,31.76521
2020-11-19,24.41013
2020-11-20,27.96387
2020-11-21,14.87037
2020-11-22,14.27323
2020-11-23,26.66763
2020-11-24,26.94436
2020-11-25,30.68744
2020-11-26,27.36673
2020-11-27,24.90533
2020-11-28,14.94319
2020-11-29,17.09874
2020-11-30,26.52199
2020-12-01,29.33294
2020-12-02,36.38217
2020-12-03,32.71191
2020-12-04,31.27002
2020-12-05,16.39965
2020-12-06,20.28837
2020-12-07,29.3475
2020-12-08,31.34284
2020-12-09,30.33789
2020-12-10,37.53277
2020-12-11,35.55199
2020-12-12,16.23944
2020-12-13,23.09933
2020-12-14,48.48528
2020-12-15,43.99941
2020-12-16,49.27177
2020-12-17,40.15438
2020-12-18,37.92601
2020-12-19,21.06029
2020-12-20,21.97786
2020-12-21,39.99417
2020-12-22,38.72706
2020-12-23,46.22778
2020-12-24,66.80745
2020-12-25,27.19196
2020-12-26,28.0367
2020-12-27,34.27031
2020-12-28,100.0
2020-12-29,42.74686
2020-12-30,25.02184
2020-12-31,12.8459
2021-01-01,10.09321
2021-01-02,10.06408
2021-01-03,11.66618
2021-01-04,18.32216
2021-01-05,17.46286
2021-01-06,17.97261
2021-01-07,17.43373
2021-01-08,18.83192
2021-01-09,15.36556
2021-01-10,14.92863
2021-01-11,21.83221
2021-01-12,18.19108
2021-01-13,16.58898
2021-01-14,17.59394
2021-01-15,13.51587
2021-01-16,9.80192
2021-01-17,12.04485
2021-01-18,14.25866
2021-01-19,15.29274
2021-01-20,14.73929
2021-01-21,15.75881
2021-01-22,14.37518
2021-01-23,11.25837
2021-01-24,10.74861
2021-01-25,15.56947
2021-01-26,15.72968
2021-01-27,15.21992
2021-01-28,19.67666
2021-01-29,13.80716
2021-01-30,10.50101
2021-01-31,11.18555
2021-02-01,13.80716
2021-02-02,13.57413
2021-02-03,37.98427
2021-02-04,36.68802
2021-02-05,23.63821
2021-02-06,14.40431
2021-02-07,13.83629
2021-02-08,18.11826
2021-02-09,19.2106
2021-02-10,17.39003
2021-02-11,11.79726
2021-02-12,11.81182
2021-02-13,12.71482
2021-02-14,13.61782
2021-02-15,19.31255
2021-02-16,26.21613
2021-02-17,20.09903
2021-02-18,18.7154
2021-02-19,17.01136
2021-02-20,14.50626
2021-02-21,13.87998
2021-02-22,21.39528
2021-02-23,19.22516
